okres,pocet,nove_pripady
Banská Bystrica,44467,+1
Banská Štiavnica,4394,
Bardejov,26352,
Bratislava,175968,+16
Brezno,15830,
Bytča,10860,
Bánovce nad Bebravou,13561,
Detva,11157,+1
Dolný Kubín,12553,
Dunajská Streda,41434,+2
Galanta,31769,
Gelnica,6923,+1
Hlohovec,17059,
Humenné,17987,+1
Ilava,22312,+1
Kežmarok,17486,+1
Komárno,24373,
Košice,88801,+2
Košice - okolie,37899,
Krupina,6335,
Kysucké Nové Mesto,10889,
Levice,23607,+4
Levoča,10954,+1
Liptovský Mikuláš,24265,
Lučenec,18720,
Malacky,25225,
Martin,39584,
Medzilaborce,2091,
Michalovce,30933,+2
Myjava,10080,
Nitra,60502,+2
Nové Mesto nad Váhom,24964,
Nové Zámky,33459,+1
Námestovo,19401,
Partizánske,13817,
Pezinok,26496,
Piešťany,24342,
Poltár,5229,
Poprad,35434,+2
Považská Bystrica,26955,+1
Prešov,69011,+3
Prievidza,41419,+2
Púchov,17800,+1
Revúca,7551,
Rimavská Sobota,18515,+1
Rožňava,15349,
Ružomberok,19811,
Sabinov,18576,+1
Senec,41972,+2
Senica,22128,
Skalica,19310,+3
Snina,9821,
Sobrance,5877,
Spišská Nová Ves,29502,+1
Stará Ľubovňa,19170,
Stropkov,7611,
Svidník,12038,+1
Topolčany,25472,+2
Trebišov,30622,+3
Trenčín,48397,+2
Trnava,55069,+3
Turčianske Teplice,5185,
Tvrdošín,11832,
Veľký Krtíš,11977,+3
Vranov nad Topľou,24279,
Zlaté Moravce,10428,
Zvolen,24437,+2
Čadca,29571,
Šaľa,15102,
Žarnovica,6704,
Žiar nad Hronom,14727,
Žilina,77652,+3
