okres,pocet,nove_pripady
Banská Bystrica,44466,
Banská Štiavnica,4394,
Bardejov,26352,+2
Bratislava,175952,+23
Brezno,15830,
Bytča,10860,
Bánovce nad Bebravou,13561,
Detva,11156,+2
Dolný Kubín,12553,
Dunajská Streda,41432,+3
Galanta,31769,+4
Gelnica,6922,
Hlohovec,17059,+1
Humenné,17986,+2
Ilava,22311,+6
Kežmarok,17485,+1
Komárno,24373,+2
Košice,88799,+4
Košice - okolie,37899,+1
Krupina,6335,
Kysucké Nové Mesto,10889,
Levice,23603,+3
Levoča,10953,
Liptovský Mikuláš,24265,
Lučenec,18720,+5
Malacky,25225,
Martin,39584,+1
Medzilaborce,2091,
Michalovce,30931,+1
Myjava,10080,+1
Nitra,60500,+4
Nové Mesto nad Váhom,24964,+2
Nové Zámky,33458,+1
Námestovo,19401,
Partizánske,13817,
Pezinok,26496,+1
Piešťany,24342,+4
Poltár,5229,
Poprad,35432,+2
Považská Bystrica,26954,+2
Prešov,69008,+1
Prievidza,41417,+1
Púchov,17799,
Revúca,7551,
Rimavská Sobota,18514,+1
Rožňava,15349,+1
Ružomberok,19811,
Sabinov,18575,
Senec,41970,+1
Senica,22128,+2
Skalica,19307,+1
Snina,9821,
Sobrance,5877,
Spišská Nová Ves,29501,
Stará Ľubovňa,19170,
Stropkov,7611,
Svidník,12037,
Topolčany,25470,+3
Trebišov,30619,+3
Trenčín,48395,+1
Trnava,55066,+2
Turčianske Teplice,5185,
Tvrdošín,11832,
Veľký Krtíš,11974,
Vranov nad Topľou,24279,+1
Zlaté Moravce,10428,
Zvolen,24435,
Čadca,29571,+1
Šaľa,15102,+1
Žarnovica,6704,
Žiar nad Hronom,14727,+1
Žilina,77649,+1
